seed,run_dir,method,group,n,acc,macro_f1,lambda_align
5,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210025,UncondAlign,High-D,1502.0,0.6810918774966711,0.6694277661228187,0.05
5,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210025,UncondAlign,Overall,4643.0,0.6082274391557183,0.6103409796244292,0.05
6,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210245,Concat,Low-D,1468.0,0.5742506811989101,0.5025658578075923,
6,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210245,Concat,Mid-D,1682.0,0.6016646848989299,0.5751522721980932,
6,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210245,Concat,High-D,1493.0,0.6784996651038178,0.6692875733889986,
6,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210245,Concat,Overall,4643.0,0.6177040706439801,0.6154272082775009,
6,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210245,UncondAlign,Low-D,1468.0,0.5626702997275205,0.4928693760602593,0.01
6,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210245,UncondAlign,Mid-D,1682.0,0.5992865636147443,0.5749423491149006,0.01
6,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210245,UncondAlign,High-D,1493.0,0.6825184192900201,0.6710903887663755,0.01
6,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210245,UncondAlign,Overall,4643.0,0.6144734008184364,0.6135489249886762,0.01
7,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210523,Concat,Low-D,1341.0,0.5704697986577181,0.5278870816849285,
7,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210523,Concat,Mid-D,1721.0,0.5967460778617083,0.5780488003207059,
7,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210523,Concat,High-D,1581.0,0.6704617330803289,0.6628170224257303,
7,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210523,Concat,Overall,4643.0,0.6142580228300668,0.6151098162437162,
7,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210523,UncondAlign,Low-D,1341.0,0.5592841163310962,0.5000992248852841,0.01
7,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210523,UncondAlign,Mid-D,1721.0,0.5990703079604881,0.5787657113154335,0.01
7,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210523,UncondAlign,High-D,1581.0,0.6799493991144845,0.6735054170334993,0.01
7,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210523,UncondAlign,Overall,4643.0,0.6151195347835451,0.6161708875762248,0.01
