seed,run_dir,lambda_align,group,n,concat_acc,align_acc,delta_acc,concat_macro_f1,align_macro_f1,delta_macro_f1,valid_macro_f1,valid_acc
8,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210755,0.01,High-D+Low-R,748.0,0.6082887700534759,0.5989304812834224,-0.0093582887700535,0.596984957839812,0.5897248765711549,-0.007260081268657,0.6200777595901695,0.6292134831460674
8,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210755,0.01,High-D+High-R,748.0,0.7406417112299465,0.7352941176470589,-0.0053475935828876,0.7135640990215347,0.7043849447825107,-0.009179154239024,0.6200777595901695,0.6292134831460674
8,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210755,0.05,High-D+Low-R,748.0,0.6082887700534759,0.6283422459893048,0.0200534759358288,0.596984957839812,0.614121790276629,0.017136832436817,0.6139868555207709,0.6260032102728732
8,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210755,0.05,High-D+High-R,748.0,0.7406417112299465,0.7299465240641712,-0.0106951871657753,0.7135640990215347,0.7088414083407147,-0.0047226906808199,0.6139868555207709,0.6260032102728732
8,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210755,0.1,High-D+Low-R,748.0,0.6082887700534759,0.6029411764705882,-0.0053475935828877,0.596984957839812,0.5868587807509894,-0.0101261770888225,0.6089654747890995,0.6142322097378277
8,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210755,0.1,High-D+High-R,748.0,0.7406417112299465,0.7393048128342246,-0.0013368983957219,0.7135640990215347,0.7063358567974252,-0.0072282422241095,0.6089654747890995,0.6142322097378277
8,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210755,0.5,High-D+Low-R,748.0,0.6082887700534759,0.6176470588235294,0.0093582887700535,0.596984957839812,0.6001160335141996,0.0031310756743876,0.6056935210511109,0.6131621187800963
8,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210755,0.5,High-D+High-R,748.0,0.7406417112299465,0.7379679144385026,-0.0026737967914438,0.7135640990215347,0.7071947614504941,-0.0063693375710406,0.6056935210511109,0.6131621187800963
9,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_211024,0.01,High-D+Low-R,761.0,0.6202365308804205,0.6097240473061761,-0.0105124835742443,0.6029544824862045,0.5971392790865168,-0.0058152033996877,0.6156808083192511,0.6238630283574104
9,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_211024,0.01,High-D+High-R,762.0,0.7375328083989501,0.7414698162729659,0.0039370078740158,0.7332869837369133,0.740004523064873,0.0067175393279597,0.6156808083192511,0.6238630283574104
9,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_211024,0.05,High-D+Low-R,761.0,0.6202365308804205,0.6189224704336399,-0.0013140604467806,0.6029544824862045,0.5956253540531932,-0.0073291284330113,0.6125799454598623,0.6211878009630819
9,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_211024,0.05,High-D+High-R,762.0,0.7375328083989501,0.7375328083989501,0.0,0.7332869837369133,0.7372772502792264,0.0039902665423131,0.6125799454598623,0.6211878009630819
9,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_211024,0.1,High-D+Low-R,761.0,0.6202365308804205,0.6123521681997371,-0.0078843626806833,0.6029544824862045,0.5919667883018668,-0.0109876941843377,0.61399999444998,0.6233279828785446
9,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_211024,0.1,High-D+High-R,762.0,0.7375328083989501,0.7401574803149606,0.0026246719160105,0.7332869837369133,0.740077479188901,0.0067904954519877,0.61399999444998,0.6233279828785446
